地域,区分,単位,2010年,2015年,2020年,2021年,2022年
北海道,人口,千人,5506,5382,5225,5183,5140
青森県,人口,千人,1373,1308,1238,1221,1204
岩手県,人口,千人,1330,1280,1211,1196,1181
宮城県,人口,千人,2348,2334,2302,2290,2280
秋田県,人口,千人,1086,1023,960,945,930
山形県,人口,千人,1169,1124,1068,1055,1041
福島県,人口,千人,2029,1914,1833,1812,1790
茨城県,人口,千人,2970,2917,2867,2852,2840
栃木県,人口,千人,2008,1974,1933,1921,1909
群馬県,人口,千人,2008,1973,1939,1927,1913
埼玉県,人口,千人,7195,7267,7345,7340,7337
千葉県,人口,千人,6216,6223,6284,6275,6266
東京都,人口,千人,13159,13515,14048,14010,14038
神奈川県,人口,千人,9048,9126,9237,9236,9232
新潟県,人口,千人,2374,2304,2201,2177,2153
富山県,人口,千人,1093,1066,1035,1025,1017
石川県,人口,千人,1170,1154,1133,1125,1118
福井県,人口,千人,806,787,767,760,753
山梨県,人口,千人,863,835,810,805,802
長野県,人口,千人,2152,2099,2048,2033,2020
岐阜県,人口,千人,2081,2032,1979,1961,1946
静岡県,人口,千人,3765,3700,3633,3608,3582
愛知県,人口,千人,7411,7483,7542,7517,7495
三重県,人口,千人,1855,1816,1770,1756,1742
滋賀県,人口,千人,1411,1413,1414,1411,1409
京都府,人口,千人,2636,2610,2578,2561,2550
大阪府,人口,千人,8865,8839,8838,8806,8782
兵庫県,人口,千人,5588,5535,5465,5432,5402
奈良県,人口,千人,1401,1364,1324,1315,1306
和歌山県,人口,千人,1002,964,923,914,903
鳥取県,人口,千人,589,573,553,549,544
島根県,人口,千人,717,694,671,665,658
岡山県,人口,千人,1945,1922,1888,1876,1862
広島県,人口,千人,2861,2844,2800,2780,2760
山口県,人口,千人,1451,1405,1342,1328,1313
徳島県,人口,千人,785,756,720,712,704
香川県,人口,千人,996,976,950,942,934
愛媛県,人口,千人,1431,1385,1335,1321,1306
高知県,人口,千人,764,728,692,684,676
福岡県,人口,千人,5072,5102,5135,5124,5116
佐賀県,人口,千人,850,833,811,806,801
長崎県,人口,千人,1427,1377,1312,1297,1283
熊本県,人口,千人,1817,1786,1738,1728,1718
大分県,人口,千人,1197,1166,1124,1114,1107
宮崎県,人口,千人,1135,1104,1070,1061,1052
鹿児島県,人口,千人,1706,1648,1588,1576,1563
沖縄県,人口,千人,1393,1434,1467,1468,1468